price,mileage,year,featureCount,isOneOwner
16990,-82520,2006,-38,0
28991,-77977,2008,-18,0
45998,-29610,2009,-51,0
30988,-27561,2008,-33,0
10700,-96937,2009,0,0
29995,-95766,2008,-42,0
14988,-41986,2000,-92,0
45995,-46521,2010,-42,1
28592,-89145,2007,-34,1
29800,-55492,2007,-42,0
15995,-94629,2006,-55,0
6995,-117828,2000,-18,0
11777,-112727,2006,-42,0
39900,-40894,2008,-63,0
28000,-93000,2008,-44,0
35700,-46403,2010,-55,1
26999,-105037,2007,-47,0
2800,-59690,2002,-5,0
47991,-34429,2010,-35,0
8950,-132009,2001,-16,1
28888,-76030,2008,-83,0
70991,-12926,2012,-59,0
43900,-45100,2012,-35,1
8996,-107104,2003,-56,0
8985,-123261,2002,-38,0
33900,-30672,2007,-59,0
28994,-57735,2007,-46,1
9995,-120575,2003,-32,0
48999,-38394,2012,-58,0
15831,-66458,2003,-74,0
9995,-116555,2000,-6,0
30880,-59745,2007,-93,0
40999,-36347,2011,-82,0
8646,-158920,2001,0,0
39991,-72698,2010,0,0
10977,-87754,2002,-33,0
37777,-36938,2010,-78,0
13000,-122000,2005,-27,0
14699,-105004,2006,-61,0
10491,-116869,2004,-51,0
28995,-82496,2008,-47,0
57995,-16660,2012,-64,0
4490,-145000,1998,-38,0
35991,-42796,2007,-52,0
7999,-126587,2000,-47,0
8977,-105817,2002,-54,0
27875,-71917,2007,-62,0
29999,-50351,2008,-38,0
47998,-30248,2011,-79,0
15500,-83203,2005,-59,0
64833,-18221,2008,-40,0
26980,-65252,2008,-41,1
49995,-25535,2011,-56,0
12995,-96250,2003,-39,0
34434,-63298,2009,-103,0
42995,-25994,2009,-55,0
46995,-32757,2012,-70,0
62888,-27548,2011,-56,1
50995,-48148,2013,-32,0
10995,-136597,2005,-34,0
23990,-61797,2005,-48,0
22888,-104810,2007,-6,0
12850,-118483,2003,-5,0
7979,-181772,2003,-55,0
16991,-85667,2006,-5,0
8999,-109920,2006,-54,0
9995,-112982,2003,-48,0
29990,-91047,2007,-99,0
26999,-87000,2007,-30,0
45753,-41412,2012,-3,1
32152,-53077,2007,-75,0
35995,-96978,2010,0,0
29900,-74300,2008,-11,0
6450,-122319,2002,-11,0
5444,-190540,2000,-38,0
9955,-82924,2002,-16,0
8850,-88547,2002,-44,0
35998,-54739,2009,-6,1
8995,-154160,2003,-35,0
47800,-42696,2010,-47,1
66916,-9894,2012,-12,0
49950,-28140,2012,-49,0
60000,-9158,2011,-72,1
38990,-68399,2008,-46,0
59995,-14952,2013,-94,0
6995,-133828,2001,-15,0
28750,-81109,2008,-55,0
10950,-55301,2002,-47,0
17995,-69910,2006,-51,0
38980,-68845,2010,-47,0
11995,-91761,2005,-61,0
35486,-61069,2009,-69,0
21494,-104050,2007,-108,0
27900,-79566,2008,-26,0
995,-2.00E+05,2001,-59,0
69800,-18821,2013,-8,0
68990,-14285,2013,-69,1
6995,-163966,2001,-2,0
39900,-76196,2010,-52,0
37593,-68069,2010,-82,0
12995,-50736,2003,-54,0
30922,-52521,2007,-73,0
13999,-65574,2006,-34,0
14991,-72336,2005,-5,0
45999,-38217,2011,-72,0
37850,-63277,2010,-78,0
8000,-98887,1997,-48,0
14995,-134639,2006,-65,0
32990,-41381,2007,-46,0
14500,-123275,2005,-33,0
40950,-34052,2011,-2,0
51994,-38827,2012,-9,1
12777,-109000,2003,-16,0
54222,-32455,2012,-76,0
29991,-79212,2006,-61,0
51990,-20056,2012,-51,0
31990,-82559,2007,-100,0
12993,-79677,2004,-1,0
4999,-117556,2001,-20,0
35995,-72067,2010,-21,0
36000,-49361,2009,-66,0
35994,-102325,2007,-52,0
6999,-130429,2001,-20,0
48994,-36487,2011,-32,1
47990,-29000,2010,-64,0
15999,-84478,2006,-71,0
22995,-138066,2007,-48,0
57750,-44210,2007,-11,1
13990,-63090,2002,-60,0
9919,-112021,2003,-21,0
11981,-107439,2006,-6,0
5999,-69823,2002,-49,0
6900,-176228,2002,-58,0
39995,-67105,2009,-48,1
12495,-98264,2006,-49,0
6995,-148520,2001,-57,0
52995,-45247,2012,-54,0
55995,-19499,2012,-66,0
42895,-42345,2010,-60,0
47994,-59379,2011,-55,0
11988,-111018,2004,-42,0
4990,-114646,1999,-2,0
43995,-52039,2012,-5,1
19000,-117445,2007,-79,0
22999,-109609,2007,-19,0
48777,-36582,2008,-64,0
7500,-123397,2001,-22,1
37990,-19879,2007,-53,0
38998,-51959,2009,-57,0
46990,-42508,2010,-51,0
44900,-19823,2010,-9,1
15991,-99179,2004,-27,0
65995,-2714,2013,-5,0
6995,-123000,2000,-27,0
27991,-87338,2007,0,0
44999,-63598,2009,-74,0
33999,-51702,2007,-52,0
49999,-30735,2012,-55,1
20475,-61357,2006,-16,0
9999,-103254,2001,-21,0
9995,-128546,2001,-36,0
10988,-86918,2002,-30,0
4995,-141101,1994,-18,0
19990,-81508,2006,-12,0
21995,-116950,2007,0,1
7995,-126010,2004,-55,0
26999,-66653,2007,-21,0
9988,-120087,2001,-56,0
76991,-9371,2013,-42,1
3200,-126984,2001,-24,0
27995,-47942,2007,-52,0
21900,-115245,2008,-47,1
79888,-7153,2013,-2,1
16999,-71407,2006,-42,1
31900,-48423,2008,-52,0
22990,-106378,2007,-16,0
11950,-81437,2001,-44,0
66991,-26807,2013,-77,1
28995,-94669,2008,-71,0
62900,-22425,2012,-64,0
74900,-10103,2013,-13,0
26994,-58811,2007,-55,1
65999,-46517,2011,-46,0
43990,-52130,2008,-10,1
29999,-153000,2007,-44,0
37490,-68361,2011,-21,1
8500,-98648,1999,0,1
10980,-101921,1994,-28,0
39999,-90009,2012,-55,0
29995,-50894,2009,-9,0
9995,-92940,2002,-52,1
37995,-35039,2008,-62,0
22488,-90452,2007,-49,0
61991,-13783,2012,-1,0
24990,-79898,2007,-73,0
7988,-88579,2001,-26,0
47987,-32161,2010,-20,1
35555,-36055,2008,-45,1
21950,-48831,2006,-33,0
25970,-80391,2007,-70,0
22750,-104246,2007,-58,0
24555,-80724,2007,-21,0
66000,-15205,2012,-5,0
10599,-79122,2004,-38,0
39988,-59426,2010,-62,0
16980,-61317,2004,-9,0
63986,-12692,2011,0,1
64991,-23249,2013,-85,0
47995,-27995,2012,-54,1
44990,-33842,2011,-64,0
30494,-68799,2008,-68,1
5203,-140947,1996,-20,0
6988,-113801,1996,-14,0
49800,-46654,2010,-62,0
52888,-30351,2011,-56,0
27674,-81844,2008,-55,0
48995,-30994,2011,0,0
3995,-184099,2002,-12,0
6995,-105015,1995,-17,0
29900,-64750,2008,-12,0
18973,-66159,2005,-70,0
39810,-51555,2009,-58,1
25999,-62105,2007,-54,0
35980,-83700,2009,-38,0
53999,-25101,2013,-49,1
7995,-101077,1997,0,0
41029,-43189,2009,-58,0
15995,-110171,2006,-38,0
33900,-42312,2007,-51,0
8991,-141087,2002,-17,0
9995,-94356,2003,-52,0
33999,-22144,2008,-102,0
4995,-206395,1996,-22,0
26990,-100677,2009,-63,0
58991,-12142,2011,0,0
35499,-66949,2010,-25,0
63700,-31533,2010,-35,0
7995,-125460,2003,-59,0
11900,-59385,2000,-35,0
39988,-43894,2009,-41,0
22993,-106497,2007,-61,0
36944,-19470,2008,-42,1
29995,-90451,2007,-18,0
41990,-44548,2010,0,1
56571,-44516,2012,-9,0
60999,-16431,2012,-31,0
11777,-88041,2006,-20,0
34995,-88577,2012,-52,0
72500,-8600,2013,0,0
11988,-87880,2002,-52,0
6999,-128394,1995,-23,0
4995,-138518,1997,-26,1
7995,-112356,2002,-57,0
12799,-133389,2006,-28,0
22900,-120000,2007,-53,0
41981,-58703,2009,-82,0
59999,-14750,2011,-66,1
57995,-19571,2011,-76,0
27990,-39889,2007,-50,0
47690,-59471,2007,-67,0
7449,-109661,2002,-42,0
8900,-140152,2002,-56,0
65487,-23101,2012,0,0
